,spotify,key_and_mode
track_id,spotify_uri,key_and_mode
10,spotify:track:66381EvBZ6e3RXzYATpGmN,F# Major
141,spotify:track:7f0KQDOB9khm9ZtuWjjtre,F Major
153,spotify:track:348mNhOGbcRxj7e35jASFm,C# Major
173,spotify:track:1B6BPYXUp1FrxUfpRI38MM,A Major
181,spotify:track:3Ddc7Lne6RjhTlRPGWpRdi,G Major
184,spotify:track:6RlOAAOmWy5GHUQvd2XK2T,Bb Major
213,spotify:track:1OrbImTwzIVWtW1msIfa2r,D Major
251,spotify:track:03tLL3IVOlZjuQ09ruzKyW,A Major
331,spotify:track:5gTRpAuvGv3WMYENEFb2iL,A minor
347,spotify:track:0t776Qp9dV8F1zdcdys89m,A minor
384,spotify:track:6HZHgxY2nzLUolQkEQuNgW,G# Major
411,spotify:track:0R4EPHyAmRlxhtbGoWa9jq,G minor
532,spotify:track:4FcmMMMgt8KW7imlVemTFS,D# Major
533,spotify:track:6tY89kS6nteROgiVOBIPj6,G minor
534,spotify:track:4ypiBQX6nsXTwLkaHwnaRI,G# minor
535,spotify:track:15inctkFraY0h9lO7gI6pS,F# Major
536,spotify:track:2lUewhhSONUcDhdITuO8e4,E Major
538,spotify:track:13LaCOYGsfFlFap8qxnh1D,G# Major
540,spotify:track:4m8jcQJ7wg4RyFNnIvZZgn,C# Major
542,spotify:track:4T15IGvQISy0Pjfnbbm4Vj,G# minor
546,spotify:track:2zPVxyeQrT9MwfS8ctQa0T,G# Major
547,spotify:track:38iGasRZ6PAQEtFUHdsnak,C# Major
549,spotify:track:2k5F3cLqqymKMyKaXwc0cP,D# Major
564,spotify:track:2jZDMOhEZuX5EzcLELtFXN,C minor
565,spotify:track:70T6UJeRboItzWupOXwKdp,E Major
566,spotify:track:0YycHIFl5MoV1s35XbfYPe,C Major
567,spotify:track:3nNoMe1pqsL3H91ccNbvj0,B Major
569,spotify:track:2AWqB2eE4CbN77nc47UvRm,F# minor
570,spotify:track:2RCksBCj0CACU1hiMbtS4j,A minor
571,spotify:track:71PHe23ZPZ6GUCTSlLnMrf,F# Major
572,spotify:track:0w4609RZCtJkeHjnw8ELqi,E Major
573,spotify:track:5vijVPpSVbE31fL7pKQOQi,G minor
574,spotify:track:6Eu8bEwssf8s96WqcfaKAf,G# minor
579,spotify:track:0iUw7FBJ5QE2YkPXQT0GOe,E minor
580,spotify:track:5oWdvjfxN1MmDcGut7Iw8s,A minor
608,spotify:track:26MitEQGDOQCIYUe4vaYXe,D minor
610,spotify:track:5wQqEc8yn5Y1eHF30LPmMv,B Major
611,spotify:track:0WiHIosc87sjHnnYyxfazM,C Major
612,spotify:track:1MWkPyPDaUIE3CVvsiGrdK,E minor
625,spotify:track:0NuZEpQTEN6Ooggg0TIAMM,C Major
634,spotify:track:2O5MOMud1Hnpt1Z06fhdwo,A minor
670,spotify:track:6lmOuc8hGYA7EoPWi9pQNI,C# minor
671,spotify:track:6lmOuc8hGYA7EoPWi9pQNI,C# minor
678,spotify:track:77TKSMTiIhPzh6Pzo9F23b,Bb Major
679,spotify:track:77TKSMTiIhPzh6Pzo9F23b,Bb Major
692,spotify:track:2yAklTm0vn9ptOwgzHkZA4,A minor
705,spotify:track:0wsm7gDIDSUokc7m1p4arf,D Major
706,spotify:track:2G8kpbwlQTQX998tcEBuYm,F minor
708,spotify:track:2f72dgz2E6RMQaEITydBkC,G Major
805,spotify:track:2M9KA5vRczD576GGJm0DVL,B minor
814,spotify:track:2fNiMFR67O7CUICrtTelbZ,D minor
1007,spotify:track:30waoYt4GNb459FE7gajw1,D# Major
1014,spotify:track:4pdRXfviZ3Sjw6Yz3fKk5E,C# minor
1015,spotify:track:5IYCJExr9L1eJrzhAouLtz,F minor
1016,spotify:track:5Z4scNFddcRST6Hu6aQ8Oi,D minor
1017,spotify:track:5HG10lskxtCC7iQ0KHZp3W,F minor
1042,spotify:track:5cTU9blAalmBDKYW02Ymdn,A minor
1044,spotify:track:2SPXTw2JELzhEutM53K90X,D Major
1045,spotify:track:4gA9rzFF1WXEsOYVQRC2xM,D# Major
1046,spotify:track:01HwVf0nMa2acJnZdmUg2M,G minor
